Horodateur,"Pour être sûr ","Écoutez-vous de la musique ? ",🗓️🎵 À quelle fréquence écoutez-vous de la musique ?,🏘️🎵 Dans quel(s) contexte(s) écoutez-vous vos musiques ?,"🌞🎵 À quel moment de la journée écoutez-vous le plus de la musique ? ",❓🎵 Comment écoutez-vous vos musiques ?,📱🎵 Quelle(s) plateforme(s) de streaming utilisez-vous ?,🧐🎵 Vos musiques servent à :,🔡🎵 Quels sont vos genres de musique préférés,⏰🎵 Quelle est la durée moyenne des musiques que vous écoutez ?,"🎧🎵 Écoutez-vous plutôt des morceaux ",🚲🎵 Quel est le tempo des musiques que vous écoutez ?,👂🎵 Les musiques que vous écoutez sont plutôt,🔴🎵 Écoutez-vous des musiques interprétées en live ? (concert par exemple),🔊🎵 La qualité de l'audio est importante pour moi,💪🎵 A quel point êtes vous prêt(e) à découvrir de nouveaux genres ou artistes ?,📊 Quelle est votre tranche d'âge ?,👤 Quel est votre genre ?,👔 Dans quel domaine travaillez-vous ?,Colonne 20
06/10/2025 17:08:33,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,👤 Seul(e),🌙 Soir,ᯤ Streaming,💚 Spotify,🫧 Se mettre dans sa bulle,"Pop, Rap",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟦 Tristes,❌ Non,✅ D'accord,J’adore découvrir de nouveaux genres et artistes,entre 19 et 24 ans,♂️ Homme,Technologie & Informatique,
06/10/2025 17:08:36,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,👤 Seul(e),🌤️ Après-midi,ᯤ Streaming,💚 Spotify,"⏳ Passer le temps, 🖼️ S'échapper, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Pop, Rock",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟦 Tristes,✅ Oui,👍 Plutôt d'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,♂️ Homme,Technologie & Informatique,
06/10/2025 18:59:45,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🫂 En famille, 🎉 En fête",🌙 Soir,ᯤ Streaming,💚 Spotify,"🖼️ S'échapper, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Rap, Reggae",🟡 - de 5 minutes,🗣️ Avec des paroles,🚗 Lent,🟦 Tristes,❌ Non,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 12 et 18 ans,♂️ Homme,,
06/10/2025 19:09:46,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🫂 En famille, 🎉 En fête",🌄 Matin,ᯤ Streaming,"💚 Spotify, ❤️ Youtube Music","⏳ Passer le temps, 🥳 Faire la fête, 🖼️ S'échapper, 🕺 Danser, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Classique, Pop, Rap, Rock, Dance - Electro, Jazz, Latino, Soul-R&B",🟡 - de 5 minutes,🗣️ Avec des paroles,🚗 Lent,🟦 Tristes,❌ Non,✅ D'accord,J’adore découvrir de nouveaux genres et artistes,entre 19 et 24 ans,♂️ Homme,Arts & Médias,
06/10/2025 19:21:12,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 🎉 En fête",🌙 Soir,ᯤ Streaming,💜 Deezer,"⏳ Passer le temps, 🥳 Faire la fête, 🖼️ S'échapper, 🫧 Se mettre dans sa bulle",Rock,🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,✅ Oui,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,♂️ Homme,Construction & Industrie,
06/10/2025 19:37:56,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",🥰 + d'une fois par semaine,👤 Seul(e),🌙 Soir,ᯤ Streaming,❤️ Youtube Music,"⏳ Passer le temps, 🖼️ S'échapper, 🫧 Se mettre dans sa bulle","Pop, Rap",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟦 Tristes,✅ Oui,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,♂️ Homme,Technologie & Informatique,
06/10/2025 20:05:09,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis",🌤️ Après-midi,"ᯤ Streaming, 📀 Vinyle, 💿 CD",💜 Deezer,"🖼️ S'échapper, 🫧 Se mettre dans sa bulle","Pop, Rock, Jazz, Reggae",🟡 - de 5 minutes,🗣️ Avec des paroles,✈️ Très rapide,🟦 Tristes,✅ Oui,👍 Plutôt d'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,Autre,,
06/10/2025 21:01:36,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 🎉 En fête",🌙 Soir,"ᯤ Streaming, 💿 CD","💚 Spotify, 💜 Deezer","⏳ Passer le temps, 🥳 Faire la fête, 🕺 Danser","Pop, Rock",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,✅ Oui,👍 Plutôt d'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,♀️ Femme,Préfère ne pas dire,
06/10/2025 21:51:06,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🎉 En fête",☀️ Midi,"ᯤ Streaming, 📥 Téléchargements","💜 Deezer, 🧡 SoundCloud","⏳ Passer le temps, 🥳 Faire la fête, 📖 Se concentrer","Classique, Pop, Rap, Rock",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,❌ Non,👍 Plutôt d'accord,J’adore découvrir de nouveaux genres et artistes,entre 19 et 24 ans,♂️ Homme,Santé,
06/10/2025 21:51:50,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🎉 En fête",🌤️ Après-midi,ᯤ Streaming,💜 Deezer,"⏳ Passer le temps, 🥳 Faire la fête","Pop, Rap, Rock, Latino",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,✅ Oui,👍 Plutôt d'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,♀️ Femme,Santé,
06/10/2025 22:17:10,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🫂 En famille, 🎉 En fête",🌙 Soir,"ᯤ Streaming, 💿 CD, 📥 Téléchargements","💚 Spotify, ❤️ Youtube Music","🥳 Faire la fête, 🕺 Danser, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Classique, Rock, Dance - Electro",🟢 - de 2 minutes,🎻 Uniquement instrumentaux,🚅 Rapide,🟦 Tristes,❌ Non,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,♂️ Homme,Préfère ne pas dire,
06/10/2025 22:20:20,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🎉 En fête",🌙 Soir,"ᯤ Streaming, 📥 Téléchargements",💚 Spotify,"⏳ Passer le temps, 🖼️ S'échapper, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Classique, Pop, Rock, Jazz, Latino, Soul-R&B",🟡 - de 5 minutes,🎻 Uniquement instrumentaux,🚅 Rapide,🟦 Tristes,✅ Oui,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,♂️ Homme,,
06/10/2025 22:21:11,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🎉 En fête",🌙 Soir,ᯤ Streaming,💚 Spotify,"🥳 Faire la fête, 🖼️ S'échapper, 🕺 Danser, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Pop, Rock, Dance - Electro",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟦 Tristes,✅ Oui,👍 Plutôt d'accord,J’adore découvrir de nouveaux genres et artistes,entre 19 et 24 ans,♀️ Femme,Préfère ne pas dire,
06/10/2025 22:29:41,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",🥰 + d'une fois par semaine,"👤 Seul(e), 👥 Entre amis, 🫂 En famille, 🎉 En fête",🌙 Soir,"ᯤ Streaming, 📀 Vinyle",💜 Deezer,"⏳ Passer le temps, 🥳 Faire la fête, 🖼️ S'échapper, 🕺 Danser, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Classique, Pop, Rock, Jazz, Reggae",🟡 - de 5 minutes,🗣️ Avec des paroles,🚗 Lent,🟩 Positives,✅ Oui,👍 Plutôt d'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,♀️ Femme,Arts & Médias,
06/10/2025 22:56:51,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,👤 Seul(e),🌙 Soir,ᯤ Streaming,💚 Spotify,⏳ Passer le temps,"Pop, Rap, Rock, Soul-R&B",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,✅ Oui,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,♂️ Homme,Éducation,
06/10/2025 23:06:14,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😊 + d'une fois par mois,"👤 Seul(e), 🎉 En fête",🌙 Soir,ᯤ Streaming,💚 Spotify,"⏳ Passer le temps, 🥳 Faire la fête","Pop, Rap",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟦 Tristes,❌ Non,👍 Plutôt d'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,♂️ Homme,Technologie & Informatique,
07/10/2025 11:39:08,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 🎉 En fête",🌙 Soir,ᯤ Streaming,💚 Spotify,"⏳ Passer le temps, 🥳 Faire la fête, 🕺 Danser","Classique, Pop, Rock, Jazz, Latino",🟢 - de 2 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,✅ Oui,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,♂️ Homme,Commerce & Services,
07/10/2025 15:53:55,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 🫂 En famille, 🎉 En fête",🌙 Soir,télé .... sur mon ordi,"💚 Spotify, ❤️ Youtube Music","⏳ Passer le temps, 🥳 Faire la fête, 🕺 Danser, 📖 Se concentrer","Pop, Rap, Dance - Electro, Jazz, Latino, Soul-R&B, Reggae",🔴 + de 10 minutes,🎤 Avec une voix mais en fond,🚅 Rapide,🟩 Positives,❌ Non,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 45 et 54 ans,♀️ Femme,Éducation,
07/10/2025 19:00:15,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis",🌙 Soir,"ᯤ Streaming, 📥 Téléchargements",❤️ Youtube Music,"⏳ Passer le temps, 🖼️ S'échapper, 🕺 Danser, 🫧 Se mettre dans sa bulle","Pop, Rock, Jazz",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,❌ Non,👍 Plutôt d'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 25 et 34 ans,Autre,Éducation,
07/10/2025 19:15:10,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), ❌ Autre",☀️ Midi,"ᯤ Streaming, Radio ","❤️ Youtube Music, Radio ","⏳ Passer le temps, 🖼️ S'échapper","Pop, Variété ",🟠 - de 10 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,✅ Oui,✅ D'accord,Je préfère rester sur les genres que je connais déjà,entre 55 et 64 ans,♀️ Femme,Santé,
07/10/2025 20:03:40,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,👤 Seul(e),🌤️ Après-midi,"📥 Téléchargements, Radio ",❤️ Youtube Music,"⏳ Passer le temps, 🥳 Faire la fête","Rock, Dance - Electro",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,❌ Non,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 45 et 54 ans,♂️ Homme,Commerce & Services,
07/10/2025 21:16:46,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🫂 En famille, 🎉 En fête, ❌ Autre",🌤️ Après-midi,"ᯤ Streaming, 💿 CD, En live","💚 Spotify, ❤️ Youtube Music","⏳ Passer le temps, 🥳 Faire la fête, 🖼️ S'échapper, 🕺 Danser, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Classique, Pop, Rock, Jazz, Soul-R&B",🟡 - de 5 minutes,🗣️ Avec des paroles,🚗 Lent,🟦 Tristes,✅ Oui,✅ D'accord,J’adore découvrir de nouveaux genres et artistes,entre 25 et 34 ans,♀️ Femme,Arts & Médias,
07/10/2025 21:17:01,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🫂 En famille, 🎉 En fête",🌄 Matin,Radio,❤️ Youtube Music,🖼️ S'échapper,"Classique, Rock",🔴 + de 10 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,✅ Oui,👍 Plutôt d'accord,J’adore découvrir de nouveaux genres et artistes,entre 25 et 34 ans,♂️ Homme,Commerce & Services,
07/10/2025 21:23:20,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",🥰 + d'une fois par semaine,"👤 Seul(e), 👥 Entre amis",🌄 Matin,ᯤ Streaming,"💚 Spotify, 💜 Deezer","⏳ Passer le temps, 🖼️ S'échapper, 🫧 Se mettre dans sa bulle","Classique, Jazz, Soul-R&B",🟡 - de 5 minutes,🗣️ Avec des paroles,🚗 Lent,🟩 Positives,❌ Non,👍 Plutôt d'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 35 et 44 ans,♂️ Homme,Commerce & Services,
07/10/2025 21:33:56,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,👤 Seul(e),🌙 Soir,En roulant en voiture (radio),❤️ Youtube Music,"🖼️ S'échapper, 🫧 Se mettre dans sa bulle","Pop, Dance - Electro, Variété française et internationale ",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,❌ Non,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 25 et 34 ans,♀️ Femme,"Fonction territoriale ",
07/10/2025 21:38:33,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🎉 En fête",🌙 Soir,ᯤ Streaming,❤️ Youtube Music,"⏳ Passer le temps, 🥳 Faire la fête, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Classique, Pop, Rock, Dance - Electro",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟦 Tristes,✅ Oui,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,♂️ Homme,Commerce & Services,
07/10/2025 22:31:18,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,👤 Seul(e),🌙 Soir,ᯤ Streaming,💚 Spotify,"⏳ Passer le temps, 📖 Se concentrer","Classique, Pop, Rap, Rock, Dance - Electro",🟡 - de 5 minutes,🎤 Avec une voix mais en fond,✈️ Très rapide,🟩 Positives,✅ Oui,✅ D'accord,J’adore découvrir de nouveaux genres et artistes,entre 19 et 24 ans,♂️ Homme,Technologie & Informatique,
08/10/2025 00:22:03,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,👤 Seul(e),🌙 Soir,ᯤ Streaming,💜 Deezer,"⏳ Passer le temps, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Pop, Rap, Rock",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟦 Tristes,❌ Non,👍 Plutôt d'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 12 et 18 ans,♂️ Homme,Technologie & Informatique,
08/10/2025 07:26:49,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 🎉 En fête",🌄 Matin,"ᯤ Streaming, 📥 Téléchargements","💜 Deezer, ❤️ Youtube Music, 🧡 SoundCloud","⏳ Passer le temps, 🥳 Faire la fête, 🖼️ S'échapper, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Hardtechno ",🟡 - de 5 minutes,🎻 Uniquement instrumentaux,🚀 Très très rapide,🟦 Tristes,✅ Oui,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,♂️ Homme,Technologie & Informatique,
08/10/2025 08:28:53,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🎉 En fête",🌕 Nuit,"ᯤ Streaming, 📀 Vinyle, 💿 CD",🤍 Apple Music,"⏳ Passer le temps, 🥳 Faire la fête, 🖼️ S'échapper, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Classique, Pop, Rock, Dance - Electro, Latino, Soul-R&B, Reggae",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,✅ Oui,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 12 et 18 ans,♂️ Homme,Technologie & Informatique,
